fourier_number_x,confirmed_nt_y,confirmed_relative_l2_error_y,confirmed_runtime_s_y
0.001,2,0.00010014471561556569,2.225667058955878
0.005,2,0.000844440807905823,2.259494401048869
0.01,2,0.00466244844554499,2.30008627101779
0.02,8,0.0030019950449930457,5.852322190068662
0.03,16,0.002619288935568571,10.436281956266612
0.04,16,0.0033516622849732603,10.522025895304978
0.05,32,0.00029673675718517044,19.520131536759436
0.06,32,0.0011743470914028953,20.136000820901245
0.07,32,0.0031883493698659894,19.494318432174623
0.08,64,0.003881465356173582,38.6903978199698
0.1,64,0.007018555346525118,39.331294796895236
