source_scan,fourier_number,spatial_points,physical_duration_s,confirmed_nt,first_strict_pass_nt,confirmed_streak_start_nt,confirmed_streak_end_nt,confirmed_relative_l2_error,confirmed_max_abs_error_k,confirmed_rmse_k,confirmed_runtime_s,strict_relative_l2_threshold,resolved_1_0,duplicate_fo_n_key_1_0
working_region_fo,0.001,32,0.008333333333333333,2,1,1,2,0.00010014471561556569,0.009749493456240543,0.007120470734828982,2.225667058955878,0.02,1,0
working_region_fo,0.005,32,0.04166666666666667,2,1,1,2,0.000844440807905823,0.08079359337574488,0.05771711595660436,2.259494401048869,0.02,1,0
working_region_fo,0.01,32,0.08333333333333334,2,1,1,2,0.00466244844554499,0.43946895434970656,0.30333175534916285,2.30008627101779,0.02,1,0
working_region_fo,0.02,32,0.16666666666666669,8,4,4,8,0.0030019950449930457,0.2567225547357168,0.17695003766726877,5.852322190068662,0.02,1,0
working_region_gapfill,0.03,32,0.25,16,8,8,16,0.002619288935568571,0.20109263588162207,0.1398817153748231,10.436281956266612,0.02,1,0
working_region_fo,0.04,32,0.33333333333333337,16,8,8,16,0.0033516622849732603,0.23733083717173997,0.16217154200150827,10.522025895304978,0.02,1,0
working_region_gapfill,0.05,32,0.4166666666666667,32,16,16,32,0.00029673675718517044,0.020777071964786842,0.013008361361109059,19.520131536759436,0.02,1,0
working_region_grid,0.06,8,0.5,2,1,1,2,0.0053904445536408635,0.26010035603086124,0.22361810499757326,1.1054588719271123,0.02,1,0
working_region_grid,0.06,16,0.5,8,4,4,8,0.0010588950924606494,0.047253477076695916,0.042689741327605155,3.8450239738449454,0.02,1,0
working_region_fo,0.06,32,0.5,32,16,16,32,0.0011743470914028953,0.07038276761211648,0.04664279592787268,20.136000820901245,0.02,1,1
working_region_grid,0.06,64,0.5,128,64,64,128,0.0042206121316914385,0.23936875351646592,0.1663597475435163,117.31962949223816,0.02,1,0
working_region_gapfill,0.07,32,0.5833333333333334,32,16,16,32,0.0031883493698659894,0.16478984903812233,0.11473366213905431,19.494318432174623,0.02,1,0
working_region_fo,0.08,32,0.6666666666666667,64,32,32,64,0.003881465356173582,0.18044685042161746,0.12654865065722254,38.6903978199698,0.02,1,0
working_region_fo,0.1,32,0.8333333333333334,64,32,32,64,0.007018555346525118,0.26002758349358146,0.1878379063581794,39.331294796895236,0.02,1,0
